time,state,action,new_state,total_cost,state_t1,action_t1,new_state_t1,cost_t1,state_t2,action_t2,new_state_t2,cost_t2,state_t3,action_t3,new_state_t3,cost_t3,state_t4,action_t4,new_state_t4,cost_t4,state_t5,action_t5,new_state_t5,cost_t5,state_t6,action_t6,new_state_t6,cost_t6,state_t7,action_t7,new_state_t7,cost_t7,state_t8,action_t8,new_state_t8,cost_t8,state_t9,action_t9,new_state_t9,cost_t9,state_t10,action_t10,new_state_t10,cost_t10,state_t11,action_t11,new_state_t11,cost_t11,state_t12,action_t12,new_state_t12,cost_t12
8,"[20, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[20, 5, 20]",2962.696638198864,"[20, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 10]",-2890.0,"[10, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 0]",-2167.5,"[15, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[10, 5, 5]",2448.4728992050923,"[15, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[15, 10, 5]",11703.400860341284,"[20, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 0]",-1445.0,"[20, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[10, 5, 0]",11328.85477979004,"[10, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 10, 10]",14938.405949473889,"[15, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 15]",-2890.0,"[10, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-1445.0,"[10, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 20]",1721.3964017840785,"[15, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[15, 5, 15]",-722.5,"[20, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[20, 0, 10]",-722.5
8,"[20, 5, 0]","[(0, 1), (5, 0), (0, 1)]","[20, 10, 0]",2962.696638198864,"[20, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 5]",1538.8126588507557,"[10, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 5, 10]",2286.472143943828,"[15, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[10, 10, 0]",2448.4728992050923,"[15, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[15, 0, 10]",11703.400860341284,"[20, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[20, 10, 10]",13163.157049504121,"[20, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 0, 10]",13496.35477979004,"[10, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 5]",14938.405949473889,"[15, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 5, 5]",10388.921072513687,"[10, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-1445.0,"[10, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 0]",-1445.0,"[15, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[15, 0, 5]",1573.523552097433,"[20, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 0]",-722.5
8,"[20, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[20, 10, 5]",2962.696638198864,"[20, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 10]",1538.8126588507557,"[10, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",-2167.5,"[15, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[10, 10, 5]",2448.4728992050923,"[15, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[15, 0, 5]",11703.400860341284,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 0]",-1445.0,"[20, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 0]",-3612.5,"[10, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 10]",14938.405949473889,"[15, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",-2890.0,"[10, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-1445.0,"[10, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 5]",-1445.0,"[15, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 0]",-722.5,"[20, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[20, 5, 5]",1573.523552097433
8,"[20, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[20, 10, 10]",2962.696638198864,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 0]",-2890.0,"[10, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 5, 5]",2286.472143943828,"[15, 5, 0]","[(0, 1), (5, 0), (5, 0)]","[10, 10, 5]",5619.445798410185,"[15, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[15, 0, 10]",11703.400860341284,"[20, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[20, 10, 5]",13163.157049504121,"[20, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 0, 5]",13496.35477979004,"[10, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 0]",14938.405949473889,"[15, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 5]",-2890.0,"[10, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-1445.0,"[10, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 10]",-1445.0,"[15, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 5]",-722.5,"[20, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 0]",-722.5
8,"[20, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[20, 10, 15]",2962.696638198864,"[20, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 5]",-2890.0,"[10, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 5, 10]",2286.472143943828,"[15, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[10, 10, 0]",2448.4728992050923,"[15, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 0]",-2890.0,"[20, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[20, 10, 10]",13163.157049504121,"[20, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 0, 10]",13496.35477979004,"[10, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 5]",14938.405949473889,"[15, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 10]",-2890.0,"[10, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-1445.0,"[10, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 15]",-1445.0,"[15, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 10]",-722.5,"[20, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 5]",-722.5
8,"[20, 5, 20]","[(0, 1), (5, 0), (0, 1)]","[20, 10, 20]",2962.696638198864,"[20, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 10]",-2890.0,"[10, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",-2167.5,"[15, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[10, 10, 5]",2448.4728992050923,"[15, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 5]",-2890.0,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 0]",-1445.0,"[20, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 0]",-3612.5,"[10, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 10]",14938.405949473889,"[15, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 15]",-2890.0,"[10, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-1445.0,"[10, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 20]",-1445.0,"[15, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 15]",-722.5,"[20, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 10]",-722.5
8,"[20, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[20, 0, 0]",-1445.0,"[20, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 0, 5]",1538.8126588507557,"[10, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 10, 10]",2286.472143943828,"[15, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 0]",-2890.0,"[15, 0, 5]","[(0, 1), (5, 0), (5, 0)]","[15, 5, 10]",26296.801720682568,"[20, 0, 5]","[(0, 1), (0, 1), (5, 0)]","[20, 0, 10]",13163.157049504121,"[20, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 5, 10]",13496.35477979004,"[10, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[5, 10, 5]",14938.405949473889,"[15, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[5, 5, 5]",23667.842145027374,"[10, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-1445.0,"[10, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",-1445.0,"[15, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[15, 5, 5]",1573.523552097433,"[20, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 0]",-722.5
8,"[20, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 0, 5]",-1445.0,"[20, 0, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 0, 10]",1538.8126588507557,"[10, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 0]",-2167.5,"[15, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 5]",-2890.0,"[15, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[15, 5, 5]",26296.801720682568,"[20, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 0, 0]",-1445.0,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 0]",-3612.5,"[10, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 10, 10]",14938.405949473889,"[15, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 0]",10388.921072513687,"[10, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-1445.0,"[10, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 5]",-1445.0,"[15, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[15, 5, 0]",-722.5,"[20, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[20, 10, 5]",1573.523552097433
8,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 0, 10]",-1445.0,"[20, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 0]",-2890.0,"[10, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 10, 5]",2286.472143943828,"[15, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 0, 5]",280.97289920509184,"[15, 0, 5]","[(0, 1), (5, 0), (5, 0)]","[15, 5, 10]",26296.801720682568,"[20, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[20, 0, 5]",13163.157049504121,"[20, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 5, 5]",13496.35477979004,"[10, 5, 0]","[(0, 1), (5, 0), (0, 1)]","[5, 10, 0]",14938.405949473889,"[15, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 5]",10388.921072513687,"[10, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-1445.0,"[10, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 10]",-1445.0,"[15, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[15, 5, 5]",-722.5,"[20, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 0]",-722.5
8,"[20, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[20, 0, 15]",-1445.0,"[20, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 5]",-2890.0,"[10, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 10, 10]",2286.472143943828,"[15, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 0]",-2890.0,"[15, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[15, 5, 0]",11703.400860341284,"[20, 0, 5]","[(0, 1), (0, 1), (5, 0)]","[20, 0, 10]",13163.157049504121,"[20, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 5, 10]",13496.35477979004,"[10, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[5, 10, 5]",14938.405949473889,"[15, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 10]",10388.921072513687,"[10, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-1445.0,"[10, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 15]",-1445.0,"[15, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[15, 5, 10]",-722.5,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 5]",-722.5
8,"[20, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[20, 0, 20]",-1445.0,"[20, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 10]",-2890.0,"[10, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 0]",-2167.5,"[15, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 5]",-2890.0,"[15, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[15, 5, 5]",11703.400860341284,"[20, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 0, 0]",-1445.0,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 0]",-3612.5,"[10, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 10, 10]",14938.405949473889,"[15, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 15]",10388.921072513687,"[10, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-1445.0,"[10, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 20]",-1445.0,"[15, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[15, 5, 15]",-722.5,"[20, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 10]",-722.5
8,"[20, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 0]",-1445.0,"[20, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 5, 5]",1538.8126588507557,"[10, 15, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 15, 10]",2286.472143943828,"[15, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 0]",-2890.0,"[15, 5, 5]","[(0, 1), (5, 0), (5, 0)]","[15, 10, 10]",26296.801720682568,"[20, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[20, 5, 10]",13163.157049504121,"[20, 15, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 10]",13496.35477979004,"[10, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 5]",-2167.5,"[15, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 0, 5]",10388.921072513687,"[10, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 5]",-1445.0,"[10, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 0]",-1445.0,"[15, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[15, 10, 5]",1573.523552097433,"[20, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 15, 0]",-722.5
8,"[20, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 5]",-1445.0,"[20, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 5, 10]",1538.8126588507557,"[10, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 0]",-2167.5,"[15, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 5]",-2890.0,"[15, 5, 0]","[(0, 1), (5, 0), (5, 0)]","[15, 10, 5]",26296.801720682568,"[20, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 0]",-1445.0,"[20, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 0]",-3612.5,"[10, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 10]",-2167.5,"[15, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 0]",-2890.0,"[10, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-1445.0,"[10, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 5]",-1445.0,"[15, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[15, 10, 0]",-722.5,"[20, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[20, 15, 5]",1573.523552097433
8,"[20, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 10]",-1445.0,"[20, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 0]",-2890.0,"[10, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 15, 5]",2286.472143943828,"[15, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 5, 5]",280.97289920509184,"[15, 5, 5]","[(0, 1), (5, 0), (5, 0)]","[15, 10, 10]",26296.801720682568,"[20, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[20, 5, 5]",13163.157049504121,"[20, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 5]",13496.35477979004,"[10, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 0]",-2167.5,"[15, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 5]",-2890.0,"[10, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 5]",-1445.0,"[10, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 10]",-1445.0,"[15, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[15, 10, 5]",-722.5,"[20, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 15, 0]",-722.5
8,"[20, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 15]",-1445.0,"[20, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 5]",-2890.0,"[10, 15, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 15, 10]",2286.472143943828,"[15, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 0]",-2890.0,"[15, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[15, 10, 0]",11703.400860341284,"[20, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[20, 5, 10]",13163.157049504121,"[20, 15, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 10]",13496.35477979004,"[10, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 5]",-2167.5,"[15, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 10]",-2890.0,"[10, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 10]",-1445.0,"[10, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 15]",-1445.0,"[15, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[15, 10, 10]",-722.5,"[20, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 15, 5]",-722.5
8,"[20, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 20]",-1445.0,"[20, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 10]",-2890.0,"[10, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 0]",-2167.5,"[15, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 5]",-2890.0,"[15, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[15, 10, 5]",11703.400860341284,"[20, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 5, 0]",-1445.0,"[20, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 0]",-3612.5,"[10, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 10]",-2167.5,"[15, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 15]",-2890.0,"[10, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 15]",-1445.0,"[10, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 20]",-1445.0,"[15, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[15, 10, 15]",-722.5,"[20, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[20, 15, 10]",-722.5
8,"[20, 20, 0]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 0]",-1445.0,"[20, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 5]",1538.8126588507557,"[10, 20, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 20, 10]",2286.472143943828,"[15, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 0]",-2890.0,"[15, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[15, 0, 10]",11703.400860341284,"[20, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[20, 10, 10]",13163.157049504121,"[20, 20, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 15, 10]",13496.35477979004,"[10, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 5]",-2167.5,"[15, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 5, 5]",10388.921072513687,"[10, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 5]",-1445.0,"[10, 20, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 0]",-1445.0,"[15, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[15, 15, 5]",1573.523552097433,"[20, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 20, 0]",-722.5
8,"[20, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 5]",-1445.0,"[20, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 10]",1538.8126588507557,"[10, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 20, 0]",-2167.5,"[15, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 5]",-2890.0,"[15, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[15, 0, 5]",11703.400860341284,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 0]",-1445.0,"[20, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 0]",-3612.5,"[10, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 10]",-2167.5,"[15, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",-2890.0,"[10, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 0]",-1445.0,"[10, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 5]",-1445.0,"[15, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[15, 15, 0]",-722.5,"[20, 20, 0]","[(0, 1), (0, 1), (5, 0)]","[20, 20, 5]",1573.523552097433
8,"[20, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 10]",-1445.0,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 0]",-2890.0,"[10, 20, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 20, 5]",2286.472143943828,"[15, 20, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 5]",280.97289920509184,"[15, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[15, 0, 10]",11703.400860341284,"[20, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[20, 10, 5]",13163.157049504121,"[20, 20, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 15, 5]",13496.35477979004,"[10, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",-2167.5,"[15, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 5]",-2890.0,"[10, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 5]",-1445.0,"[10, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 10]",-1445.0,"[15, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[15, 15, 5]",-722.5,"[20, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[20, 20, 0]",-722.5
8,"[20, 20, 15]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 15]",-1445.0,"[20, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 5]",-2890.0,"[10, 20, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 20, 10]",2286.472143943828,"[15, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 0]",-2890.0,"[15, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 0]",-2890.0,"[20, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[20, 10, 10]",13163.157049504121,"[20, 20, 5]","[(0, 1), (0, 1), (5, 0)]","[10, 15, 10]",13496.35477979004,"[10, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 5]",-2167.5,"[15, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 10]",-2890.0,"[10, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 10]",-1445.0,"[10, 20, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 15]",-1445.0,"[15, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[15, 15, 10]",-722.5,"[20, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 20, 5]",-722.5
8,"[20, 20, 20]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 20]",-1445.0,"[20, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 10]",-2890.0,"[10, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 20, 0]",-2167.5,"[15, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 5]",-2890.0,"[15, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 5]",-2890.0,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[20, 10, 0]",-1445.0,"[20, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 0]",-3612.5,"[10, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 10]",-2167.5,"[15, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 15]",-2890.0,"[10, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 15]",-1445.0,"[10, 20, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 20]",-1445.0,"[15, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[15, 15, 15]",-722.5,"[20, 20, 15]","[(0, 1), (0, 1), (0, 1)]","[20, 20, 10]",-722.5
